,url,mots-clés très pertinent,mots-clés avec 2 mots,mots-clés avec plusieurs mots
0,https://www.has-sante.fr/jcms/c_1009982/fr/biologie-des-anomalies-de-l-hemostase,recherche mutation ga,ga gène; gène facteur; epreuve duke; duke test; Test photométrique; photométrique agrégation; anticorps antifacteur; thrombopénie induire; induire héparine; détection anticoagulant; anticoagulant type,recherche mutation ga; titrage inhibiteur contre; plaquettaire cadre thrombopénie; reprendre totalité tome
1,https://www.has-sante.fr/jcms/c_1164340/fr/evaluation-de-la-sialendoscopie-parotidienne-et-submandibulaire-a-visee-diagnostique-et-therapeutique,condition réalisation acte,prise charge; groupe travail; sécurité acte; obstruction salivaire; identifiée jusqu’; jusqu’ février; février revue; forme pathologique; analyse critique; dispositif médical; bloc opératoire,condition réalisation acte; traiter balance bénéfic; risque favorable pathologie; position argumenter groupe; étude clinique identifiée; bilan complet non; diagnostiquer pathologie obstruction; type obstruction améliorer
2,https://www.has-sante.fr/jcms/c_1173766/fr/l-hormone-de-croissance-chez-l-enfant-non-deficitaire-evaluation-du-service-rendu-a-la-collectivite,interrogation commission transparence; amélioration taille adulte; tolérance long terme; pathologique petit taille; documenter dimension Service,répondre interrogation; transparence porter; porter amélioration; terme caractère; caractère pathologique; Service Rendu; Rendu collectivité; éclairer lieu; lieu décision; contenir également; scientifique nécessaire,interrogation commission transparence; tolérance long terme; documenter dimension Service; pathologique petit taille; amélioration taille adulte; également donnée scientifique; élaboration document destiner
3,https://www.has-sante.fr/jcms/c_1237001/fr/syndrome-de-bardet-biedl,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; soin patient atteindre,explicite professionnel; prise charge; charge diagnostique; optimal parcours; atteindre syndrome; syndrome Bardet; diagnostic soin; parcours soin; affections\xarare Génétique; malformatif l\'égid; de\xaler Filière,protocole national diagnostic; professionnel concerner prise; diagnostique thérapeutique optimal; soin patient atteindre; l\'égid partenariat de\xaler; aide méthodologie proposer; sensgene filière santé; développement déficience intellectuel; élaborer le\xacentre référence; santé maladie rare; anomalier développement syndrome
4,https://www.has-sante.fr/jcms/c_1261551/fr/delivrance-de-l-information-a-la-personne-sur-son-etat-de-sante,évaluation information donner; issu loi numéro,information délivrer; régir règle; santé public; professionnel santé; cohérence évaluation; ajout paragraphe; complexe mineur; mineur majeur; consulter liste; inconnus moment; moment réalisation,issu loi numéro; évaluation information donner; circonstance cause dommage; décembre protection personne; scientifique acquérir postérieurement; fin vie régir; médical relever bioéthique; paragraphe situation complexe; recherche biomédical loi; contenu qualité information; information risque inconnus
5,https://www.has-sante.fr/jcms/c_1264004/fr/conditions-pre-analytiques-de-realisation-de-la-recherche-du-genome-adn-des-papillomavirus-humains-hpv-oncogenes-a-partir-de-frottis-cervico-uterins-rapport-d-evaluation,facteur pré-analytiques succeptible; réalisation phase pré-analytiqu,d\'identifier facteur; succeptible d\'interférer; d\'interférer résultat; condition réalisation; résultat recherche; pré-analytiqu recherche; d\'établir condition,facteur pré-analytiques succeptible; réalisation phase pré-analytiqu
6,https://www.has-sante.fr/jcms/c_1343374/fr/prothese-epiretinienne-et-son-acte-d-implantation,indésirable place stratégie; l.-- code sécurité,définir indication; indication situation; prendre compte; compte rapport; effet indésirable; handicap lier; amélioration qualité; prise charge; sécurité social; argu ii; environnement technique,indésirable place stratégie; l.-- code sécurité; évaluer intérêt prendre; déterminer condition utilisation; qualité vie patient; situation clinique utilisation
7,https://www.has-sante.fr/jcms/c_1345397/fr/implants-articulaires-de-genou,implant articulaire genou; stratégie thérapeutique intérêt; choix type prothèsestratégie,critère décision; intervenir choix; santé public; définir médicalement; médicalement description; réponse saisine; maladie l\'arthroplastie; document spécifique; spécifique produire; reprendre développe; évaluer intérêt,implant articulaire genou; choix type prothèsestratégie; stratégie thérapeutique intérêt; objectif travail évaluer; vise également définir; description générique indication; modalité utilisation prescription; saisine ha acte; charge Assurance maladie; avis cnedimt implant; décision arthroplastie genouélément
8,https://www.has-sante.fr/jcms/c_1356838/fr/utilite-clinique-du-dosage-de-la-vitamine-d-rapport-d-evaluation,mesure concentration sérique,vitamine d; supplémentation vitamine; survenue pathologie; valeur référence; d survenue; associer pathologie,mesure concentration sérique; pathologie identifier littérature
9,https://www.has-sante.fr/jcms/c_1364144/fr/radiotherapie-conformationnelle-avec-modulation-d-intensite-dans-le-cancer-du-canal-anal,traitement cancer canal,canal anal; recueil donnée; dose fraction; étude contrôler; rapport RTC; débit traitement; mise œuvre; radiothérapie conformationnel; littérature insuffisamment; conviction ferme; intérêt technique,traitement cancer canal; indication répandre respectivement; technologie implication actif; taux rechute local; degré article R.; pratique imposer France; patient niveau connaissance; pouvoir mettre œuvre; définir INCa satisfait; réaliser responsabilité INCa; ferme professionnel intérêt
